1056338697_4f7d7ce270.jpg#zhm#0 一个穿蓝色衬衫的金发女人似乎要搭车。
113678030_87a6a6e42e.jpg#zhm#2 单板滑雪运动员坐在雪地上，而双板滑雪运动员站在山上。
113678030_87a6a6e42e.jpg#zhm#3 这个滑雪者坐着。
113678030_87a6a6e42e.jpg#zhm#4 两个滑雪者站着，两个坐在斜坡上。
114051287_dd85625a04.jpg#zhm#0 一个穿着足球衣的男孩正把鞋子从车里拿出来。
114051287_dd85625a04.jpg#zhm#1 一个穿着红色足球袜的男孩手里拿着他的靴子，走下车。
114051287_dd85625a04.jpg#zhm#2 戴眼镜的男孩穿着一件红色的体恤衫。
114051287_dd85625a04.jpg#zhm#3 一个孩子穿着足球鞋从车里出来。
114051287_dd85625a04.jpg#zhm#4 一个年轻男孩从面包车里出来，准备好了在足球比赛中要穿的鞋。
115684808_cb01227802.jpg#zhm#0 三人在白雪皑皑的平原上准备雪橇。
115684808_cb01227802.jpg#zhm#1 三个男人往雪橇上装物品。
115684808_cb01227802.jpg#zhm#2 三个人和一个雪橇。
115684808_cb01227802.jpg#zhm#3 三个人站在雪地里准备一个冰钓船。
115684808_cb01227802.jpg#zhm#4 三个人在雪地里把他们的设备放整齐。
1167669558_87a8a467d6.jpg#zhm#0 一个穿着黄衣服的男人在做鬼脸。
1167669558_87a8a467d6.jpg#zhm#1 一个穿着黄色衬衫的人，脸上带着一个戏剧化的表情。
1167669558_87a8a467d6.jpg#zhm#2 穿着黄色T恤的男人脸上正露着一个大大的笑容。
1167669558_87a8a467d6.jpg#zhm#3 有一个男人，穿着一件黄色的衬衫，并且扮着鬼脸。
1167669558_87a8a467d6.jpg#zhm#4 这个男人在相机前露出了很大的笑容。
1174525839_7c1e6cfa86.jpg#zhm#0 一个穿蓝色衣服的女孩在岸上跳起，小波浪冲向她。
1174525839_7c1e6cfa86.jpg#zhm#1 一个女孩站在海边跳到空中。
1174525839_7c1e6cfa86.jpg#zhm#2 一个年轻的长头发女孩在海滩上跳跃。
1174525839_7c1e6cfa86.jpg#zhm#3 这个女孩正从岸边跑向大海。
1174525839_7c1e6cfa86.jpg#zhm#4 沙滩上女孩正跳到空中。
1174629344_a2e1a2bdbf.jpg#zhm#0 一群人走在繁忙的人行道上。
1174629344_a2e1a2bdbf.jpg#zhm#1 在城市里，一群不同的人走向不同的方向。
1174629344_a2e1a2bdbf.jpg#zhm#2 一群人在暖和的天气里走在一条城市的街道上。
1174629344_a2e1a2bdbf.jpg#zhm#3 城市中夏季繁忙的交叉路口。
1174629344_a2e1a2bdbf.jpg#zhm#4 穿着夏季衣服的人们正沿着一座大城市的人行道走着。
1220401002_3f44b1f3f7.jpg#zhm#0 孩子们在草地上笑。
1220401002_3f44b1f3f7.jpg#zhm#1 两个女孩在户外的庭院里大笑着。
1220401002_3f44b1f3f7.jpg#zhm#2 两个面对面站在草地上的女孩。
1220401002_3f44b1f3f7.jpg#zhm#3 两个小女孩在绿色的草地上玩耍着，笑着。
1220401002_3f44b1f3f7.jpg#zhm#4 两个在一起玩的小女孩。
1224851143_33bcdd299c.jpg#zhm#0 一个孩子用勺子在吃东西。
1224851143_33bcdd299c.jpg#zhm#1 一个小男孩拿着勺子在嘴边。
1224851143_33bcdd299c.jpg#zhm#2 院子里一个小男孩一边坐着一边舔着勺子上的食物。
1224851143_33bcdd299c.jpg#zhm#3 一个穿着绿色衣服的小孩用勺子吃饭。
1224851143_33bcdd299c.jpg#zhm#4 一个小男孩坐在一张椅子里拿着一个汤匙送入自己嘴中。
1237985362_dbafc59280.jpg#zhm#0 一位女士抱着一个在抓泡泡的小女孩。
1237985362_dbafc59280.jpg#zhm#1 一个女人抱着一个想抓住泡泡的小女孩。
1237985362_dbafc59280.jpg#zhm#2 野餐时，一个女人抱着一个小女孩在玩泡泡。
1237985362_dbafc59280.jpg#zhm#3 一个穿着蓝色衬衫的年轻的女人抱着一个穿着牛仔裙的小姑娘。
1237985362_dbafc59280.jpg#zhm#4 有一个女人抱着她的宝贝女儿而她的女儿在拍手。
1248940539_46d33ed487.jpg#zhm#0 三个孩子在海滩边的沙地里玩耍。
1248940539_46d33ed487.jpg#zhm#1 三个孩子在沙滩上玩沙子。
1248940539_46d33ed487.jpg#zhm#2 三个女孩在玩沙子。
1248940539_46d33ed487.jpg#zhm#3 三个小金发女孩，两个穿蓝色衣服，一个穿粉色衣服，在阳光充足的海滩上玩耍。
1248940539_46d33ed487.jpg#zhm#4 三个年轻的女孩在海滩的沙地上跳舞。
1258913059_07c613f7ff.jpg#zhm#0 几个人坐在室外一张带伞的桌子旁聊天。
1258913059_07c613f7ff.jpg#zhm#1 三人坐在室外有遮阳伞的野餐长椅上。
1258913059_07c613f7ff.jpg#zhm#2 三个人坐在一个露天咖啡馆。
1258913059_07c613f7ff.jpg#zhm#3 三个人坐在一个粉刷的像杰克联盟的大楼外面的桌子上。
1258913059_07c613f7ff.jpg#zhm#4 在一栋被粉刷的像英国国旗一样的建筑外面，三个人坐在野餐桌旁。
1262583859_653f1469a9.jpg#zhm#0 一个骑自行车的人在喝咖啡。
1262583859_653f1469a9.jpg#zhm#1 一个穿着亮绿色上衣戴着墨镜的人正喝着拿铁，骑着自行车穿过街道。
1262583859_653f1469a9.jpg#zhm#2 一个身穿亮绿色衬衫的男子在铺好的庭院里骑着自行车，手里拿着一杯饮料。
1262583859_653f1469a9.jpg#zhm#3 一个人一只手骑着自行车，一只手举着一杯饮料。
1262583859_653f1469a9.jpg#zhm#4 一个骑着自行车穿着绿色T恤的男人手里拿着一瓶饮料。
1267711451_e2a754b4f8.jpg#zhm#0 一只黑白相间的狗叼着一根大棍子。
1267711451_e2a754b4f8.jpg#zhm#1 一只黑白相间的狗在嘴里叼着一根棍子。
1267711451_e2a754b4f8.jpg#zhm#2 一只黑白相间的狗嘴里衔着一根长长的树枝走过草地。
1267711451_e2a754b4f8.jpg#zhm#3 一只狗把一个棍子叼在嘴里。
1267711451_e2a754b4f8.jpg#zhm#4 一只狗叼着一只木棒小跑着穿过草丛。
127488876_f2d2a89588.jpg#zhm#0 一个男人穿着红色衬衫和黑色裤子的男人和一个穿着白色衬衫和棕色短裤的男人，在打高尔夫球。
127488876_f2d2a89588.jpg#zhm#1 前面有一棵树，背后有两个人在打高尔夫球。
127488876_f2d2a89588.jpg#zhm#2 两个高尔夫球员站在球道上眺望远方。
127488876_f2d2a89588.jpg#zhm#3 两个高尔夫球手用手遮挡阳光，望向远方。
127488876_f2d2a89588.jpg#zhm#4 在高尔夫球场上两个看向远方的男人。
127490019_7c5c08cb11.jpg#zhm#0 女孩正准备击球。
127490019_7c5c08cb11.jpg#zhm#1 一个穿着短裤和蓝色无袖衬衫的女人倚着高尔夫球杆。
127490019_7c5c08cb11.jpg#zhm#2 一个女人正准备挥动高尔夫球杆。
127490019_7c5c08cb11.jpg#zhm#3 一个穿着蓝色衬衫和卡其色短裤的女人打着高尔夫。
127490019_7c5c08cb11.jpg#zhm#4 穿着蓝色衣服的女人开始高尔夫挥杆。
1282392036_5a0328eb86.jpg#zhm#0 在文艺复兴节上的一群穿戏装的人。
1282392036_5a0328eb86.jpg#zhm#1 在文艺复兴集会上，人们穿着表演服装。
1282392036_5a0328eb86.jpg#zhm#2 两个穿着彩色服装的女人看着一个穿着棕色背心的小女孩。
1282392036_5a0328eb86.jpg#zhm#3 两个女人和一个孩子坐在一个中世纪风格的摊位前的一车箭旁。
1282392036_5a0328eb86.jpg#zhm#4 在一个中世纪展览会上，两个女人顿在一个小孩附近。
1287073593_f3d2a62455.jpg#zhm#0 一群狗拉着一个雪橇上的人上山。
1287073593_f3d2a62455.jpg#zhm#1 骑着狗拉雪橇的人在雪丘上路过旗帜。
1287073593_f3d2a62455.jpg#zhm#2 狗在雪橇比赛中拉着雪橇。
1287073593_f3d2a62455.jpg#zhm#3 五条雪橇犬拉着雪橇上的人，穿过雪地。
1287073593_f3d2a62455.jpg#zhm#4 一个男人乘着他的狗拉雪橇在雪道上前进。
1287475186_2dee85f1a5.jpg#zhm#0 一个坐在水里的男孩。
1287475186_2dee85f1a5.jpg#zhm#1 一个小男孩坐在水里，水溅起在他的腿上。
1287475186_2dee85f1a5.jpg#zhm#2 一个穿着泳衣的小男孩坐在水里。
1287475186_2dee85f1a5.jpg#zhm#3 一个坐在泳池喷水口的小男孩。
1287475186_2dee85f1a5.jpg#zhm#4 小男孩坐在水中，一个喷泉从他腿间喷出。
1298295313_db1f4c6522.jpg#zhm#0 一个穿着蓝色救生衣和迷彩短裤的金发男孩跳进蓝色的湖水中。
1298295313_db1f4c6522.jpg#zhm#1 在一个大湖里，一个男孩背着身从桥墩上跳下水。
1298295313_db1f4c6522.jpg#zhm#2 一个穿着蓝色救生衣的男孩跳进水里。
1298295313_db1f4c6522.jpg#zhm#3 一个穿蓝色救生衣的男孩从码头上跳进湖中。
1298295313_db1f4c6522.jpg#zhm#4 一个男孩捏住他的鼻子然后从一块跳板上倒跳进一片湖。
1311388430_4ab0cd1a1f.jpg#zhm#0 一个人在山附近的电线杆上倒挂着。
1311388430_4ab0cd1a1f.jpg#zhm#1 一个人正挂在空中的电线上。
1311388430_4ab0cd1a1f.jpg#zhm#2 一个人倒挂在电线上。
1311388430_4ab0cd1a1f.jpg#zhm#3 倒挂在杆上的人。
1311388430_4ab0cd1a1f.jpg#zhm#4 有人被吊在电线上。
1317292658_ba29330a0b.jpg#zhm#0 一个男孩享受在阵雨中。
1317292658_ba29330a0b.jpg#zhm#1 一个穿着泳裤的男孩子正站在一个淋浴器的下面。
1317292658_ba29330a0b.jpg#zhm#2 一个穿着泳裤的男孩在被水喷洒的时候尖叫。
1317292658_ba29330a0b.jpg#zhm#3 一个男孩被从平坦的地面上喷洒着水，眯着眼睛。
1317292658_ba29330a0b.jpg#zhm#4 一个穿着黑色男士泳裤的男孩正站在喷泉中。
1322323208_c7ecb742c6.jpg#zhm#0 一个男孩和一个女孩在沙滩上玩耍。
1322323208_c7ecb742c6.jpg#zhm#1 一个小男孩和女孩正在海滩上玩沙子。
1322323208_c7ecb742c6.jpg#zhm#2 日落时分，两个孩子站在沙滩上，其中一个拿着一根棍子。
1322323208_c7ecb742c6.jpg#zhm#3 在夕阳的映衬下的沙滩上的两个孩子。
1322323208_c7ecb742c6.jpg#zhm#4 两根小孩子在沙滩上玩棍子。
132489044_3be606baf7.jpg#zhm#0 一个人腿上放着一个包，在公车上睡着了。
132489044_3be606baf7.jpg#zhm#1 一个在公共交通工具上睡着了的人。
132489044_3be606baf7.jpg#zhm#2 一个穿着西装的亚洲人在地铁上睡着了。
132489044_3be606baf7.jpg#zhm#3 一个疲惫的商人在坐火车时小睡一会。
132489044_3be606baf7.jpg#zhm#4 在公共交通上一个穿着西装打着领带的男人靠在栏杆上打个盹。
1329832826_432538d331.jpg#zhm#0 人们在黄昏时站在街角，后面有一个药房。
1329832826_432538d331.jpg#zhm#1 人们站在百老汇的连锁药房外面。
1329832826_432538d331.jpg#zhm#2 人们在一家亮着标志灯的药店前面等待着准备过马路。
1329832826_432538d331.jpg#zhm#3 一些人在药店前看着准备穿过马路。
1329832826_432538d331.jpg#zhm#4 这是一张百老汇仪式援助药房的照片，药房有一个明亮的霓虹灯标志，站在它前面的人准备过马路。
1332722096_1e3de8ae70.jpg#zhm#0 三名妇女站在城镇的街道上。
1332722096_1e3de8ae70.jpg#zhm#1 三个女人走过街道。
1332722096_1e3de8ae70.jpg#zhm#2 两个女孩和一个女人走在人行道上。
1332722096_1e3de8ae70.jpg#zhm#3 两个穿着亮绿色靴子的女孩和另一个女人在一起。
1332722096_1e3de8ae70.jpg#zhm#4 两个年轻的女士穿着绿色的靴子正走进一块城市区域而一个年长一点穿着黑鞋的女人跟着她们。
1339596997_8ac29c1841.jpg#zhm#0 三名戴着头巾的女性站在一起。
1339596997_8ac29c1841.jpg#zhm#1 三个穆斯林妇女正在看一个相机。
1339596997_8ac29c1841.jpg#zhm#2 室外三名穿着裙子戴着头巾的妇女。
1339596997_8ac29c1841.jpg#zhm#3 三个戴着头巾的女人检查一个相机。
1339596997_8ac29c1841.jpg#zhm#4 三个带着头巾和长围巾的女人。
1343426964_cde3fb54e8.jpg#zhm#0 一个穿着蓝衬衫的金发男孩站在一个绿色尼龙材质的船前微笑。
1343426964_cde3fb54e8.jpg#zhm#1 在室外的水边，一个小孩戴着墨镜摆姿势。
1343426964_cde3fb54e8.jpg#zhm#2 一个小女孩在海滩上微笑。
1343426964_cde3fb54e8.jpg#zhm#3 一个在海滩上的小孩子。
1343426964_cde3fb54e8.jpg#zhm#4 一个年轻男人带着泳镜，穿着一件画了海盗头骨的蓝色T恤。
1348304997_afe60a61df.jpg#zhm#0 一个赤着脚的红发女孩在跳过栏杆。
1348304997_afe60a61df.jpg#zhm#1 一个还在蹦床上跳。
1348304997_afe60a61df.jpg#zhm#2 一个小女孩跳过了一个栏杆或者是一个梯子的一侧。
1348304997_afe60a61df.jpg#zhm#3 红头发的小女孩蹦上小屋旁树下的蹦床。
1348304997_afe60a61df.jpg#zhm#4 在蹦床上跳起来有着红色头发的女孩。
1352410176_af6b139734.jpg#zhm#0 一个金发女孩正踩在沙滩上竖立的木桩上。
1352410176_af6b139734.jpg#zhm#1 一个小女孩正沿着沙滩上排成一条线的木桩走。
1352410176_af6b139734.jpg#zhm#2 一个年轻的女孩在海滩上的平衡木塔上站稳。
1352410176_af6b139734.jpg#zhm#3 一个年轻的女孩正在大海边的沙滩上的木桩上行走。
1352410176_af6b139734.jpg#zhm#4 一个正在安放在沙滩上的木桩上行走的女孩。
1356796100_b265479721.jpg#zhm#0 一个穿着花裙子的女孩在树叶缝隙中露出脸来。
1356796100_b265479721.jpg#zhm#1 一个女孩透过树上的叶子露出身影。
1356796100_b265479721.jpg#zhm#2 透过绿色的叶子是一个女孩。
1356796100_b265479721.jpg#zhm#3 一个小女孩走过绿色的树叶。
1356796100_b265479721.jpg#zhm#4 透过树叶看见一个年轻女孩的脸。
136552115_6dc3e7231c.jpg#zhm#0 一个戴头盔的男子骑着山地车从一块石头上跳下。
136552115_6dc3e7231c.jpg#zhm#1 一个男人骑着越野自行车跳起，另一个越野自行车者正看着。
136552115_6dc3e7231c.jpg#zhm#2 一个山地飞车族正骑着他的自行车跃过岩石，而另一个人骑自行车的人站在小道上看。
136552115_6dc3e7231c.jpg#zhm#3 一个人骑着一个布满灰尘的自行车跳过一块石头。
136552115_6dc3e7231c.jpg#zhm#4 自行车骑手从岩石上骑车跳下来。
136644343_0e2b423829.jpg#zhm#0 一个男孩骑在轮胎上荡秋千。
136644343_0e2b423829.jpg#zhm#1 一个男孩在轮胎秋千上荡秋千。
136644343_0e2b423829.jpg#zhm#2 一个在水平轮胎秋千上的小男孩。
136644343_0e2b423829.jpg#zhm#3 一个小男孩坐在轮胎秋千上对着相机微笑。
136644343_0e2b423829.jpg#zhm#4 在一个轮胎秋千上荡秋千的年轻男孩。
136886677_6026c622eb.jpg#zhm#0 河中的独木舟上，前面坐了一个人，后面坐了一个很胖的人。
136886677_6026c622eb.jpg#zhm#1 两个男人沿着一条两岸都有绿树的河流划着皮艇。
136886677_6026c622eb.jpg#zhm#2 两个男人在一条小船上顺着河流向下划去。
136886677_6026c622eb.jpg#zhm#3 两个人沿着一条狭窄的小溪划着独木舟。
136886677_6026c622eb.jpg#zhm#4 两个划船手推动一艘独木舟沿着一条两侧绿树成荫的溪流。
1386964743_9e80d96b05.jpg#zhm#0 一个男孩站在一条土路上，在玩一台照相机。
1386964743_9e80d96b05.jpg#zhm#1 田野里的孩子。
1386964743_9e80d96b05.jpg#zhm#2 一个站在一条土路中间的小孩。
1386964743_9e80d96b05.jpg#zhm#3 一个小孩子站在一个向日葵田野中的小径上。
1386964743_9e80d96b05.jpg#zhm#4 有黑色头发的小孩站在向日葵附近的车道中。
138718600_f430ebca17.jpg#zhm#0 两辆自行车停在两个坐在水边草地上的人的后面。
138718600_f430ebca17.jpg#zhm#1 两个金发女人坐在池水旁边的草地上，旁边放着她们的自行车。
138718600_f430ebca17.jpg#zhm#2 两个女孩正坐在一条河边的小路上，她们的自行车停在她们的旁边。
138718600_f430ebca17.jpg#zhm#3 两个人坐在一个池塘旁边，挨着他们的自行车。
138718600_f430ebca17.jpg#zhm#4 两个女人坐在草地上背后是她们的自行车。
1387785218_cee67735f5.jpg#zhm#0 一个孩子推着一个在婴儿车上的洋娃娃。
1387785218_cee67735f5.jpg#zhm#1 一个小女孩推着娃娃推车。
1387785218_cee67735f5.jpg#zhm#2 一个穿着蓝色鞋子的小孩正在推着一个手推车里的玩具娃娃。
1387785218_cee67735f5.jpg#zhm#3 一个小孩子在街上推着童车。
1387785218_cee67735f5.jpg#zhm#4 一个年轻的孩子用婴儿车推着一个娃娃。
1389264266_8170bc1c54.jpg#zhm#0 一个粉色头发穿毛靴的女孩回过头，走在她旁边的女孩正看着她。
1389264266_8170bc1c54.jpg#zhm#1 两个女孩面对彼此，一个背着有骷髅头的包，穿着红黑相间的衣服，另一个则戴着串珠腰带。
1389264266_8170bc1c54.jpg#zhm#2 两个走在街上的女孩。
1389264266_8170bc1c54.jpg#zhm#3 两个穿着哥特时尚的服装的女孩，其中一个回头看着镜头。
1389264266_8170bc1c54.jpg#zhm#4 两个穿着哥特服装的年轻女孩。
1392272228_cf104086e6.jpg#zhm#0 一只黑色的狗叼着一个东西从水里出来。
1392272228_cf104086e6.jpg#zhm#1 一只黑色的狗带着一些海藻从水里出来。
1392272228_cf104086e6.jpg#zhm#2 在海滩上，一只嘴里有点东西的黑狗正从海水里出来。
1392272228_cf104086e6.jpg#zhm#3 一只黑色的狗在它的嘴巴里叼着一根棍子，从水里走到海滩上。
1392272228_cf104086e6.jpg#zhm#4 一只狗从沙滩上巡回一个树枝。
1394368714_3bc7c19969.jpg#zhm#0 一只狗等在旁边，而它的主人在翻一堆东西。
1394368714_3bc7c19969.jpg#zhm#1 一个用皮带牵着哈巴狗的男人，低头看着在室外甩卖的箱子。
1394368714_3bc7c19969.jpg#zhm#2 一个牵着哈巴狗的男人弯着腰从人行道上挑一些东西。
1394368714_3bc7c19969.jpg#zhm#3 一个牵着一只哈皮狗的男人弯着腰检查商品。
1394368714_3bc7c19969.jpg#zhm#4 一个用皮带牵着一只小狗的人正弯腰翻看物品。
1402640441_81978e32a9.jpg#zhm#0 一个穿着红蓝相间短裤的男孩正试着在沙中跑步接住一个足球。
1402640441_81978e32a9.jpg#zhm#1 一个穿着红色泳裤的小男孩扑向一个足球。
1402640441_81978e32a9.jpg#zhm#2 小孩挡住足球防护自己的脸。
1402640441_81978e32a9.jpg#zhm#3 穿着红色短裤的小男孩正试图抓住一个正朝他来的足球。
1402640441_81978e32a9.jpg#zhm#4 年轻的男孩在沙滩上打球。
1404832008_68e432665b.jpg#zhm#0 一个戴着护具的人被拖着划过水面。
1404832008_68e432665b.jpg#zhm#1 一个穿着系带的人降落在水上。
1404832008_68e432665b.jpg#zhm#2 一个挂在绳索上的男人冲进了水里。
1404832008_68e432665b.jpg#zhm#3 一个系着绳索的男人被拉着通过水域。
1404832008_68e432665b.jpg#zhm#4 一个穿着泳裤的男人正在水中滑行。
1408958345_68eea9a4e4.jpg#zhm#0 一个穿泳衣的女孩笑着穿过白色沙滩。
1408958345_68eea9a4e4.jpg#zhm#1 一个穿着花泳衣的小女孩跑过海滩的沙地。
1408958345_68eea9a4e4.jpg#zhm#2 一个身后有海浪穿着花朵泳装的小女孩跑过沙滩。
1408958345_68eea9a4e4.jpg#zhm#3 有一个小女孩在海滩上跑着。
1408958345_68eea9a4e4.jpg#zhm#4 那个年轻的女孩正在沙滩上奔跑。
1415591512_a84644750c.jpg#zhm#0 一个穿着靴子的女孩在草地上很活跃。
1415591512_a84644750c.jpg#zhm#1 一个女孩在一辆车旁玩着泥巴。
1415591512_a84644750c.jpg#zhm#2 一个在银色车前面穿着靴子的年轻女孩，演示了一些有趣的招式。
1415591512_a84644750c.jpg#zhm#3 小女孩在银色车旁的草地上快速移动。
1415591512_a84644750c.jpg#zhm#4 在一辆银色的车前小女孩正在原地旋转使得她的头发飞了起来。
1417031097_ab656bc4bd.jpg#zhm#0 一个人坐在过山车大笑。
1417031097_ab656bc4bd.jpg#zhm#1 一张在多云的日子里在游乐园搭乘的照片。
1417031097_ab656bc4bd.jpg#zhm#2 人们正坐在一个把你从高高的上空降下来的一个游乐设施上。
1417031097_ab656bc4bd.jpg#zhm#3 玩着游乐园设施的人们。
1417031097_ab656bc4bd.jpg#zhm#4 乘坐着一个平台的人们。
1425069308_488e5fcf9d.jpg#zhm#0 一只狗两腿站立嘴朝空中一个蓝色球张开。
1425069308_488e5fcf9d.jpg#zhm#1 一只白狗正在捉一个蓝色的球。
1425069308_488e5fcf9d.jpg#zhm#2 一只白色的狗在一个客厅跳起来去抓一个蓝色的球。
1425069308_488e5fcf9d.jpg#zhm#3 狗跳向空中来接球。
1425069308_488e5fcf9d.jpg#zhm#4 两只狗在一个家庭房间里正在玩耍，一只正在用嘴抓一个球。
1427391496_ea512cbe7f.jpg#zhm#0 一个穿着黑色体恤的孩子站在一张野餐桌边上的木制甲板上。
1427391496_ea512cbe7f.jpg#zhm#1 一个小男孩在操场上微笑着照相。
1427391496_ea512cbe7f.jpg#zhm#2 一个小男孩正在码头上紧紧抓住一个蓝色的把手。
1427391496_ea512cbe7f.jpg#zhm#3 一个年轻的孩子站在水边的木质码头上。
1427391496_ea512cbe7f.jpg#zhm#4 一个男孩穿着绿色的毛衣袖子上有白色的条带正站在厚木地板上背景是一个蓄水池。
1432179046_8e3d75cf81.jpg#zhm#0 在不远处一个人指着他附近的一个银色轿车。
1432179046_8e3d75cf81.jpg#zhm#1 一个男人正在和一面停车场里的巨大墙面打网球。
1432179046_8e3d75cf81.jpg#zhm#2 一个人向着停车场上的一辆汽车走去。
1432179046_8e3d75cf81.jpg#zhm#3 一个人在外面手中拿着黑色的网球拍面对着墙。
1432179046_8e3d75cf81.jpg#zhm#4 男人正对着建筑物打网球。
1433142189_cda8652603.jpg#zhm#0 一个旅行者走没有树的一条小路上山。
1433142189_cda8652603.jpg#zhm#1 一个登山客爬上了一座多草的山丘。
1433142189_cda8652603.jpg#zhm#2 一个背着大背包的人从一座山的草丛小路中向上走。
1433142189_cda8652603.jpg#zhm#3 一个人走在草路上爬向大山。
1433142189_cda8652603.jpg#zhm#4 登山者正顺着一条上山的小径。
143688283_a96ded20f1.jpg#zhm#0 一个系着护具的人在爬岩石墙。
143688283_a96ded20f1.jpg#zhm#1 一个穿着白衣服，带着头盔的人正在爬山。
143688283_a96ded20f1.jpg#zhm#2 一个穿着白色衬衫戴着头盔的人正在使用登山设备。
143688283_a96ded20f1.jpg#zhm#3 一个戴着白色头盔的年轻人爬上了一块岩石墙。
143688283_a96ded20f1.jpg#zhm#4 攀岩者向岩石上方看去。
1446053356_a924b4893f.jpg#zhm#0 孩子们穿着制服，在一片绿色的场地上参加运动。
1446053356_a924b4893f.jpg#zhm#1 这个年少的足球员享受着游戏。
